"state_county","trump","biden","others"
"georgia,taliaferro",360,561,7
"georgia,tattnall",6054,2062,71
"georgia,taylor",2420,1388,34
"georgia,telfair",2825,1488,22
"georgia,terrell",2004,2376,36
"georgia,thomas",12969,8708,200
"georgia,tift",10784,5318,178
"georgia,toombs",7873,2938,103
"georgia,towns",6384,1550,45
"georgia,treutlen",2101,952,24
"georgia,troup",18142,11577,338
"georgia,turner",2349,1409,33
"georgia,twiggs",2370,2044,30
"georgia,union",12650,2800,112
"georgia,upson",8606,4203,98
"georgia,walker",23173,5770,431
"georgia,walton",37839,12683,576
"georgia,ware",9903,4169,117
"georgia,warren",1166,1468,16
"georgia,washington",4668,4743,69
"georgia,wayne",9987,2688,107
"georgia,webster",748,640,3
"georgia,wheeler",1583,689,13
"georgia,white",12222,2411,198
"georgia,whitfield",25644,10680,442
"georgia,wilcox",2402,861,16
"georgia,wilkes",2823,2160,48
"georgia,wilkinson",2665,2074,31
"georgia,worth",6830,2395,60
"idaho,ada",130699,120539,8151
"idaho,adams",1941,591,54
"idaho,bannock",23331,14682,1758
"idaho,bear lake",2914,350,51
"idaho,benewah",3878,977,118
"idaho,bingham",15295,4124,675
"idaho,blaine",4032,8919,338
"idaho,boise",3485,1204,131
"idaho,bonner",18369,8310,673
"idaho,bonneville",37805,14254,1936
"idaho,boundary",4937,1220,156
"idaho,butte",1202,188,25
"idaho,camas",507,149,98
"idaho,canyon",61759,25881,2798
"idaho,caribou",2906,431,79
"idaho,cassia",7907,1464,272
"idaho,clark",264,41,6
"idaho,clearwater",3453,877,89
"idaho,custer",2089,603,47
"idaho,elmore",7246,2601,358
"idaho,franklin",5845,657,162
"idaho,fremont",5548,998,173
"idaho,gem",7951,1803,204
"idaho,gooding",4659,1256,135
"idaho,idaho county",7826,1561,215
"idaho,jefferson",12099,1661,413
"idaho,jerome",5734,1893,185
"idaho,kootenai",62837,24312,2729
"idaho,latah",9472,10236,862
"idaho,lemhi",3592,1032,114
"idaho,lewis",1489,349,32
"idaho,lincoln",1469,414,57
"idaho,madison",13559,2666,887
"idaho,minidoka",6265,1550,178
"idaho,nez perce",13738,6686,543
"idaho,oneida",2148,249,54
"idaho,owyhee",3819,816,107
"idaho,payette",8862,2161,270
"idaho,power",2116,865,105
"idaho,shoshone",4216,1693,140
"idaho,teton",2858,3318,171
